"78630e03a2cb3b70edec00869db163c07079d9bf,core/src/test/java/org/elasticsearch/common/settings/SettingsTests.java,SettingsTests.java,3,12139.440841729276,13,2,0,0,0,0,32,32,0,14,109,50,647,496,15,12154.326728720975,7,2,0,0,0,0,13,13,0,2,45,14,320,78,Rename Method,Rename Method	public testReplacePropertiesPlaceholderIgnores() : void renamed to public testReplacePropertiesPlaceholderIgnoresPrompt() : void in class org.elasticsearch.common.settings.SettingsTests"
"7f673fbdfd92a204b06a4ec307909a338d4721fe,core/src/test/java/org/elasticsearch/common/settings/SettingsTests.java,SettingsTests.java,3,12139.440841729276,13,2,0,0,0,0,32,32,0,14,109,50,647,496,15,12154.326728720975,7,2,0,0,0,0,13,13,0,2,45,14,320,78,Rename Method,Rename Method	public testReplacePropertiesPlaceholderIgnores() : void renamed to public testReplacePropertiesPlaceholderIgnoresPrompt() : void in class org.elasticsearch.common.settings.SettingsTests"
"44efbf2770a9491fe4b31e8f72000079d673ecc0,core/src/test/java/org/elasticsearch/monitor/fs/FsProbeTests.java,FsProbeTests.java,24,737.4152944562945,10,4,0,1,1,0,16,14,0,3,32,22,280,134,43,737.4152944562945,4,2,0,0,0,0,1,1,0,0,12,2,50,0,Rename Method,Rename Method	public testFsStats() : void renamed to public testFsInfo() : void in class org.elasticsearch.monitor.fs.FsProbeTests"
"71a6d6d5e98ffb9a6563e066007247b8a16f8f33,core/src/test/java/org/elasticsearch/monitor/fs/FsProbeTests.java,FsProbeTests.java,24,737.4152944562945,10,4,0,1,1,0,16,14,0,3,32,22,280,134,43,737.4152944562945,4,2,0,0,0,0,1,1,0,0,12,2,50,0,Rename Method,Rename Method	public testFsStats() : void renamed to public testFsInfo() : void in class org.elasticsearch.monitor.fs.FsProbeTests"
"33d2ca13a9288dae7e8da2248f112b424a7fbebb,core/src/test/java/org/elasticsearch/gateway/ReplicaShardAllocatorTests.java,ReplicaShardAllocatorTests.java,10,9534.473296025986,34,3,0,8,0,1,26,20,0,9,73,45,365,0,17,8024.890325762983,31,3,0,6,0,0,16,14,0,0,49,31,235,0,Extract Method,Extract Method	private onePrimaryOnNode1And1Replica(deciders AllocationDeciders, settings Settings, reason UnassignedInfo.Reason) : RoutingAllocation extracted from private onePrimaryOnNode1And1Replica(deciders AllocationDeciders) : RoutingAllocation in class org.elasticsearch.gateway.ReplicaShardAllocatorTests"
"2b675ccf037fabea89439d10e17a63a90a6fdafd,core/src/test/java/org/elasticsearch/gateway/ReplicaShardAllocatorTests.java,ReplicaShardAllocatorTests.java,10,9534.473296025986,34,3,0,8,0,1,26,20,0,9,73,45,365,0,17,8024.890325762983,31,3,0,6,0,0,16,14,0,0,49,31,235,0,Extract Method,Extract Method	private onePrimaryOnNode1And1Replica(deciders AllocationDeciders, settings Settings, reason UnassignedInfo.Reason) : RoutingAllocation extracted from private onePrimaryOnNode1And1Replica(deciders AllocationDeciders) : RoutingAllocation in class org.elasticsearch.gateway.ReplicaShardAllocatorTests"
"2623ce7960b1720e06ea2ea2bfaad3621f5736f7,core/src/test/java/org/elasticsearch/bootstrap/SecurityTests.java,SecurityTests.java,34,7252.720346477208,1,2,0,0,0,0,4,4,0,6,11,6,58,6,20,5994.036053617846,3,2,0,0,0,0,10,10,0,20,39,23,209,45,Extract Method,Extract Method	package assertNoPermissions(path Path, actual PermissionCollection) : void extracted from public testGeneratedPermissions() : void in class org.elasticsearch.bootstrap.SecurityTests"
"9769477c9d20ad9175d13b96df12bab62d36056c,core/src/test/java/org/elasticsearch/bootstrap/SecurityTests.java,SecurityTests.java,34,7252.720346477208,1,2,0,0,0,0,4,4,0,6,11,6,58,6,20,5775.826133706209,3,2,0,0,0,0,10,10,0,20,39,23,206,45,Extract Method,Extract Method	package assertNoPermissions(path Path, actual PermissionCollection) : void extracted from public testGeneratedPermissions() : void in class org.elasticsearch.bootstrap.SecurityTests"
"4a5040bb32355519b3c310f9a6bb5ec5ebcb0016,core/src/test/java/org/elasticsearch/action/admin/indices/template/put/MetaDataIndexTemplateServiceTests.java,MetaDataIndexTemplateServiceTests.java,25,1966.5814321733187,15,2,0,0,0,0,10,8,1,12,34,14,190,91,38,1116.598732568704,7,2,0,0,0,0,1,1,0,0,17,3,72,3,Extract Method,Extract Method	private putTemplate(request PutRequest) : List<Throwable> extracted from public testIndexTemplateInvalidNumberOfShards() : void in class org.elasticsearch.action.admin.indices.template.put.MetaDataIndexTemplateServiceTests"
"8fca951be0f5a36fdd48a10b077dee9d0863edf9,core/src/test/java/org/elasticsearch/action/admin/indices/template/put/MetaDataIndexTemplateServiceTests.java,MetaDataIndexTemplateServiceTests.java,25,1966.5814321733187,15,2,0,0,0,0,10,8,1,12,34,14,190,91,38,1116.598732568704,7,2,0,0,0,0,1,1,0,0,17,3,72,3,Extract Method,Extract Method	private putTemplate(request PutRequest) : List<Throwable> extracted from public testIndexTemplateInvalidNumberOfShards() : void in class org.elasticsearch.action.admin.indices.template.put.MetaDataIndexTemplateServiceTests"
"2d42839eefa506e568fdb2b7045fa260ef2354c5,core/src/test/java/org/elasticsearch/action/admin/indices/template/put/MetaDataIndexTemplateServiceTests.java,MetaDataIndexTemplateServiceTests.java,25,1966.5814321733187,15,2,0,0,0,0,10,8,1,12,34,14,190,91,38,1116.598732568704,7,2,0,0,0,0,1,1,0,0,17,3,72,3,Extract Method,Extract Method	private putTemplate(request PutRequest) : List<Throwable> extracted from public testIndexTemplateInvalidNumberOfShards() : void in class org.elasticsearch.action.admin.indices.template.put.MetaDataIndexTemplateServiceTests"
