"286c1719879e0b5d1b0d665d4bdfdf835e0f7b40,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"58c43cc8cbb4bc3b3bd5e674a8eaeeac1780f4fe,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"b864a39a26dca4b1c524900036b40ab516ea4dfe,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,2,11227.535652947936,50,4,0,26,0,1,59,35,0,1,61,65,640,196,9,10544.862554618569,49,4,0,26,0,1,41,21,0,1,50,41,418,396,Extract Method,Extract Method	private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void extracted from public testSpeculativeTaskAttemptSucceedsEvenIfFirstFails() : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"564adec5b5d5264897572f68d9e19a916f887c0d,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"d928b498a87fc4e22802e670c4679495cdd83b19,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"f6230b1c8cf921059bf746c17c3f9527e67e4931,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestDelegationTokenRenewer.java,TestDelegationTokenRenewer.java,25,2718.546287773882,14,2,0,4,0,1,6,6,0,7,30,10,179,0,26,2854.7000329449397,19,3,0,6,1,2,18,18,0,3,8,26,129,129,Rename Method,Rename Method	public testRemoveRenewAction() : void renamed to public testAddRemoveRenewAction() : void in class org.apache.hadoop.fs.TestDelegationTokenRenewer"
"66f322ba99847f8abbf8f3068a1450b06cf5c04e,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestDelegationTokenRenewer.java,TestDelegationTokenRenewer.java,25,2718.546287773882,14,2,0,4,0,1,6,6,0,7,30,10,179,0,26,2854.7000329449397,19,3,0,6,1,2,18,18,0,3,8,26,129,129,Rename Method,Rename Method	public testRemoveRenewAction() : void renamed to public testAddRemoveRenewAction() : void in class org.apache.hadoop.fs.TestDelegationTokenRenewer"
"1ce3274dd5eb114e1d154bceaa6dda3e1e1e1c78,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/TestDelegationTokenRenewer.java,TestDelegationTokenRenewer.java,25,2718.546287773882,14,2,0,4,0,1,6,6,0,7,30,10,179,0,26,2854.7000329449397,19,3,0,6,1,2,18,18,0,3,8,26,129,129,Rename Method,Rename Method	public testRemoveRenewAction() : void renamed to public testAddRemoveRenewAction() : void in class org.apache.hadoop.fs.TestDelegationTokenRenewer"
"0b11245d34764ddb1bafccb7f0050790ba75265a,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,TestKerberosAuthenticationHandler.java,17,5061.995779177242,16,2,0,1,0,0,15,12,0,1,55,32,264,0,22,5019.181329339826,13,2,0,1,0,0,10,8,0,1,41,24,180,0,Extract Method,Extract Method	protected getDefaultProperties() : Properties extracted from protected setUp() : void in class org.apache.hadoop.security.authentication.server.TestKerberosAuthenticationHandler"
"3ff00d4aaa03055558c784d0b875167143404f8d,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,TestKerberosAuthenticationHandler.java,17,5061.995779177242,16,2,0,1,0,0,15,12,0,1,55,32,264,0,22,5019.181329339826,13,2,0,1,0,0,10,8,0,1,41,24,180,0,Extract Method,Extract Method	protected getDefaultProperties() : Properties extracted from protected setUp() : void in class org.apache.hadoop.security.authentication.server.TestKerberosAuthenticationHandler"
"f4a723249eebe019de0188b715904bbc35e34fbf,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestKerberosAuthenticationHandler.java,TestKerberosAuthenticationHandler.java,17,5061.995779177242,16,2,0,1,0,0,15,12,0,1,55,32,264,0,22,5019.181329339826,13,2,0,1,0,0,10,8,0,1,41,24,180,0,Extract Method,Extract Method	protected getDefaultProperties() : Properties extracted from protected setUp() : void in class org.apache.hadoop.security.authentication.server.TestKerberosAuthenticationHandler"
